Locality,County,Latitude,Longitude
Alvik,Stockholm,59.3334,17.9803
Arninge,Stockholm,59.464709,18.129501
Bammarboda,Stockholm,59.506469,18.468463
Bergshamra,Stockholm,59.639531,18.656496
Betsede,Stockholm,59.329785,18.431584
Birka,Stockholm,59.332728,17.54494
Blidö,Stockholm,59.614538,18.901464
Brottby,Stockholm,59.560959,18.238716
Dalarö,Stockholm,59.133518,18.405239
Drottningholm,Stockholm,59.324925,17.887332
Edsbro,Stockholm,59.895128,18.492378
Ekängen,Stockholm,59.307174,17.752373
Ekeby,Stockholm,59.183333,17.633333
Ekerö,Stockholm,59.355591,17.622421
Ekerö sommarstad,Stockholm,59.276032,17.7345
Ekskogen,Stockholm,59.641435,18.231124
Enviken,Stockholm,59.623668,18.629259
Finkarby,Stockholm,59.224838,17.308238
Finsta,Stockholm,59.736929,18.492091
Fisksätra,Stockholm,59.292196,18.253788
Fågelvikshöjden,Stockholm,59.280596,18.447797
Gladö kvarn,Stockholm,59.1909,17.98233
Granby,Stockholm,59.657562,17.632342
Grisslehamn,Stockholm,60.098176,18.805852
Gräddö,Stockholm,59.764168,19.032137
Gustavsberg,Stockholm,59.325623,18.388514
Hallstavik,Stockholm,60.05176,18.597017
Herräng,Stockholm,60.129473,18.647286
Herräng,Stockholm,60.129473,18.647286
Håbo-Tibble kyrkby,Stockholm,59.587032,17.661931
Hölö,Stockholm,59.025492,17.535552
Johannesudd,Stockholm,59.551617,18.030971
Jordbro,Stockholm,59.142399,18.131791
Järna,Stockholm,59.083333,17.566667
Katrinedal,Stockholm,59.475315,17.836947
Kopparmora,Stockholm,59.335833,18.565
Kullö,Stockholm,59.413961,18.304833
Kungsberga,Stockholm,59.405967,17.627952
Kungsängen,Stockholm,59.478667,17.751169
Kårsta,Stockholm,59.657503,18.274701
Landfjärden,Stockholm,59.035934,17.989155
Lidatorp och Klövsta,Stockholm,58.95809,17.906444
Lidingö,Stockholm,59.364384,18.133142
Lilla Stenby,Stockholm,59.384764,17.524639
Ljusterö Nolsjö,Stockholm,59.531146,18.618247
Lugnet och Skälsmara,Stockholm,59.25587,18.535627
Lurudden,Stockholm,59.274685,17.70826
Löwenströmska lasarettet,Stockholm,59.541799,17.916415
Muskö,Stockholm,58.99583,18.114857
Märsta,Stockholm,59.625238,17.851567
Mölnbo,Stockholm,59.048603,17.41531
Nibble,Stockholm,59.064191,17.6241
Norra Lagnö,Stockholm,59.354259,18.408346
Norra Muskö,Stockholm,58.99583,18.114857
Norra Riksten,Stockholm,59.189071,17.915707
Norrtälje,Stockholm,59.759173,18.703747
Nykvarn,Stockholm,59.196648,17.397728
Nynäshamn,Stockholm,58.905645,17.947098
Nysättra,Stockholm,59.810277,18.893669
Parksidan,Stockholm,59.284221,17.846563
Persberg,Örebro,59.113364,15.546807
Prästängen,Stockholm,59.621465,17.706711
Resarö,Stockholm,59.430784,18.333296
Riala,Stockholm,59.631719,18.517372
Rimbo,Stockholm,59.745319,18.360176
Rindö,Stockholm,59.40183,18.372286
Rosersberg,Stockholm,59.581732,17.888175
Rydbo,Stockholm,59.463626,18.185024
Rånäs,Stockholm,59.803183,18.301225
Rättarboda,Stockholm,59.500988,17.604074
Saltsjöbaden,Stockholm,59.279277,18.304929
Sandviken,Stockholm,59.183333,17.633333
Segersäng,Stockholm,59.02702,17.929652
Sibble,Stockholm,59.112867,17.744928
Sigtuna,Stockholm,59.61652,17.72363
Skarpö,Stockholm,59.395874,18.976177
Skebobruk,Stockholm,59.968548,18.612015
Solberga,Stockholm,59.495278,18.356389
Sorunda,Stockholm,59.014384,17.82105
Spillersboda,Stockholm,59.702861,18.85637
Spånlöt,Stockholm,59.572133,18.289962
Stavsnäs,Stockholm,59.288201,18.691782
Stenhamra,Stockholm,59.334749,17.687364
Steningehöjden,Stockholm,59.62146,17.796332
Sticklinge udde,Stockholm,59.390487,18.090382
Stockholm,Stockholm,59.325117,18.071093
Stora Vika,Stockholm,58.955646,17.785737
Sundby,Stockholm,59.288476,17.719274
Svanberga,Stockholm,59.840363,18.662935
Svinninge,Stockholm,59.449483,18.283511
Sättra,Stockholm,59.620932,18.439134
Söderby,Stockholm,59.3825,17.585278
Söderby-Karl,Stockholm,59.897693,18.69698
Södersvik,Stockholm,59.750116,18.915614
Södertälje,Stockholm,59.196428,17.627166
Tranholmen,Stockholm,59.291823,17.779643
Tumba,Stockholm,59.200555,17.834312
Tuna,Stockholm,59.253428,17.490446
Tynningö,Stockholm,59.377574,18.392701
Täljö,Stockholm,59.47179,18.239194
Vallentuna,Stockholm,59.533224,18.07645
Vattubrinken,Stockholm,59.243867,17.582851
Vaxholm,Stockholm,59.400907,18.290323
Vidja,Stockholm,59.197165,18.059693
Vårsta,Stockholm,59.16533,17.795928
Väländan,Stockholm,59.112957,17.987988
Västerhaninge,Stockholm,59.122159,18.108596
Åkersberga,Stockholm,59.482351,18.294398
Årsta Havsbad,Stockholm,59.086226,18.165957
Älgö,Stockholm,59.266912,18.343347
Älmsta,Stockholm,59.971707,18.803142
Älvkarleö,Stockholm,59.353941,18.094415
Älvsala,Stockholm,59.297232,18.640445
Ängsvik,Stockholm,59.240578,18.530325
Ölsta,Stockholm,59.400148,17.655159
Ösmo,Stockholm,58.982826,17.896191
Östra Kallfors,Stockholm,59.110495,17.560215
